Tipo de dato,Archivo,Tamaño (bytes),Repetición,AES-256 tiempo (s),ECDSA tiempo (s)
PlainText,PlainText_1KB.txt,1024,1,7.7e-06,0.0005637
PlainText,PlainText_1KB.txt,1024,2,2.4e-06,3.42e-05
PlainText,PlainText_1KB.txt,1024,3,1.7e-06,2.76e-05
PlainText,PlainText_1KB.txt,1024,4,1.5e-06,2.56e-05
PlainText,PlainText_1KB.txt,1024,5,1.5e-06,2.56e-05
PlainText,PlainText_1KB.txt,1024,6,1.5e-06,2.5e-05
PlainText,PlainText_1KB.txt,1024,7,1.4e-06,2.49e-05
PlainText,PlainText_1KB.txt,1024,8,1.4e-06,2.49e-05
PlainText,PlainText_1KB.txt,1024,9,1.4e-06,2.48e-05
PlainText,PlainText_1KB.txt,1024,10,1.4e-06,2.47e-05
PlainText,PlainText_1KB.txt,1024,11,1.4e-06,2.48e-05
PlainText,PlainText_1KB.txt,1024,12,1.4e-06,2.48e-05
PlainText,PlainText_1KB.txt,1024,13,1.4e-06,2.47e-05
PlainText,PlainText_1KB.txt,1024,14,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,15,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,16,2.8e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,17,1.4e-06,2.48e-05
PlainText,PlainText_1KB.txt,1024,18,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,19,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,20,1.3e-06,2.7e-05
PlainText,PlainText_1KB.txt,1024,21,1.4e-06,2.49e-05
PlainText,PlainText_1KB.txt,1024,22,1.3e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,23,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,24,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,25,1.3e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,26,1.4e-06,2.47e-05
PlainText,PlainText_1KB.txt,1024,27,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,28,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,29,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,30,1.4e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,31,1.4e-06,2.42e-05
PlainText,PlainText_1KB.txt,1024,32,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,33,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,34,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,35,1.4e-06,2.43e-05
PlainText,PlainText_1KB.txt,1024,36,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,37,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,38,1.4e-06,2.43e-05
PlainText,PlainText_1KB.txt,1024,39,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,40,1.4e-06,2.43e-05
PlainText,PlainText_1KB.txt,1024,41,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,42,1.4e-06,2.7e-05
PlainText,PlainText_1KB.txt,1024,43,1.4e-06,2.47e-05
PlainText,PlainText_1KB.txt,1024,44,1.4e-06,2.43e-05
PlainText,PlainText_1KB.txt,1024,45,1.3e-06,2.46e-05
PlainText,PlainText_1KB.txt,1024,46,1.4e-06,2.43e-05
PlainText,PlainText_1KB.txt,1024,47,1.3e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,48,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,49,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,50,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,51,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,52,1.4e-06,2.43e-05
PlainText,PlainText_1KB.txt,1024,53,1.4e-06,2.47e-05
PlainText,PlainText_1KB.txt,1024,54,1.4e-06,2.43e-05
PlainText,PlainText_1KB.txt,1024,55,1.4e-06,2.45e-05
PlainText,PlainText_1KB.txt,1024,56,1.4e-06,2.44e-05
PlainText,PlainText_1KB.txt,1024,57,1.4e-06,2.43e-05
PlainText,PlainText_1KB.txt,1024,58,1.3e-06,2.45e-05
